show_id,type,title,director,country,date_added,release_year,duration
s57,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,United States,"March 20, 2018",2016,75 min
s58,Movie,100% Halal,Jastis Arimba,Indonesia,"January 7, 2021",2020,101 min
s60,Movie,1000 Rupee Note,Shrihari Sathe,India,"December 1, 2016",2014,89 min
s61,Movie,12 ROUND GUN,Sam Upton,United States,"March 14, 2019",2017,90 min
s63,Movie,13 Cameras,Victor Zarcoff,United States,"August 13, 2016",2015,90 min
s66,Movie,13 Sins,Daniel Stamm,United States,"January 13, 2019",2014,93 min
s67,Movie,13TH,Ava DuVernay,United States,"October 7, 2016",2016,101 min
s69,Movie,14 Blades,Daniel Lee,"Hong Kong, China, Singapore","April 3, 2019",2010,113 min
s70,Movie,14 Cameras,"Scott Hussion, Seth Fuller",United States,"October 27, 2018",2018,89 min
s71,Movie,14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",United States,"February 1, 2019",2016,84 min
s72,Movie,16 Blocks,Richard Donner,"United States, Germany","November 1, 2019",2006,102 min
s73,Movie,17 Again,Burr Steers,United States,"January 1, 2021",2009,102 min
s74,Movie,18 Presents,Francesco Amato,Italy,"May 8, 2020",2020,114 min
s75,Movie,1898: Our Last Men in the Philippines,Salvador Calvo,Spain,"June 2, 2017",2016,130 min
s76,Movie,1BR,David Marmor,United States,"August 23, 2020",2019,90 min
s77,Movie,1st Summoning,Raymond Wood,United States,"July 26, 2019",2018,94 min
s78,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,"June 1, 2020",2008,97 min
s79,Movie,2 States,Abhishek Varman,India,"August 4, 2018",2014,143 min
s80,Movie,20 Feet From Stardom,Morgan Neville,United States,"September 22, 2018",2013,91 min
s83,Movie,2036 Origin Unknown,Hasraf Dulull,United Kingdom,"December 20, 2018",2018,95 min
s84,Movie,20th Century Women,Mike Mills,United States,"June 28, 2019",2016,119 min
s85,Movie,21 & Over,"Jon Lucas, Scott Moore",United States,"April 16, 2019",2013,93 min
s89,Movie,2307: Winter's Dream,Joey Curtis,United States,"March 1, 2018",2016,101 min
s90,Movie,24 Hours to Live,Brian Smrz,"South Africa, China, United States","April 7, 2018",2017,93 min
s91,Movie,25 Kille,Simranjit Singh Hundal,India,"October 1, 2018",2016,140 min
s92,Movie,26 Years,Geun-hyun Cho,South Korea,"October 1, 2017",2012,135 min
s93,Movie,"27, el club de los malditos",Nicanor Loreti,Argentina,"May 1, 2018",2018,82 min
s94,Movie,27: Gone Too Soon,Simon Napier-Bell,United Kingdom,"May 1, 2018",2017,70 min
s95,Movie,28 Days,Betty Thomas,United States,"September 30, 2020",2000,104 min
s97,Movie,3 Days to Kill,McG,"United States, France, Serbia","December 1, 2020",2014,117 min
s99,Movie,3 Generations,Gaby Dellal,United States,"August 28, 2017",2015,92 min
s100,Movie,3 Heroines,Iman Brotoseno,Indonesia,"January 5, 2019",2016,124 min
s101,Movie,3 Idiots,Rajkumar Hirani,India,"August 1, 2019",2009,164 min
s102,Movie,3 Seconds Divorce,Shazia Javed,Canada,"June 15, 2019",2018,53 min
s103,Movie,3 Türken & ein Baby,Sinan Akkuş,Germany,"December 15, 2016",2015,93 min
s104,Movie,30 Days of Luxury,Hani Hamdi,Egypt,"April 18, 2019",2016,91 min
s105,Movie,30 Minutes or Less,Ruben Fleischer,United States,"January 1, 2021",2011,83 min
s106,Movie,300 Miles to Heaven,Maciej Dejczer,"Denmark, France, Poland","October 1, 2019",1989,93 min
s107,Movie,365 Days,"Barbara Białowąs, Tomasz Mandes",Poland,"June 7, 2020",2020,114 min
s108,Movie,37 Seconds,Hikari,Japan,"January 31, 2020",2020,116 min
s110,Movie,40 Sticks,Victor Gatonye,Kenya,"November 20, 2020",2019,93 min
s111,Movie,42 Grams,Jack C. Newell,United States,"February 1, 2018",2017,81 min
s114,Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",Canada,"December 20, 2017",2017,84 min
s115,Movie,4L,Gerardo Olivares,Spain,"July 12, 2019",2019,105 min
s116,Movie,4th Man Out,Andrew Nackman,United States,"May 5, 2016",2015,86 min
s117,Movie,4th Republic,Ishaya Bako,Nigeria,"June 13, 2020",2019,120 min
s119,Movie,5 Flights Up,Richard Loncraine,United States,"March 17, 2019",2014,92 min
s120,Movie,5 Star Christmas,Marco Risi,Italy,"December 7, 2018",2018,96 min
s121,Movie,5 to 7,Victor Levin,United States,"March 16, 2017",2014,97 min
s122,Movie,50 First Dates,Peter Segal,United States,"December 1, 2020",2004,99 min
s123,Movie,50/50,Jonathan Levine,United States,"June 1, 2019",2011,100 min
s124,Movie,5CM,Rizal Mantovani,Indonesia,"September 28, 2018",2012,126 min
s125,Movie,5Gang,Matei Dima,Romania,"April 27, 2020",2019,96 min
s126,Movie,6 Balloons,Marja Lewis Ryan,United States,"April 6, 2018",2018,75 min
s127,Movie,6 Days,Toa Fraser,"New Zealand, United Kingdom","February 8, 2018",2017,94 min
s128,Movie,6 Underground,Michael Bay,United States,"December 13, 2019",2019,129 min
s129,Movie,6 Years,Hannah Fidell,United States,"September 8, 2015",2015,80 min
s130,Movie,6-5=2,Bharat Jain,India,"November 1, 2017",2014,103 min
s132,Movie,68 Kill,Trent Haaga,United States,"September 1, 2019",2017,96 min
s133,TV Show,7 (Seven),Nizar Shafi,India,"July 30, 2019",2019,1 Season
s134,Movie,7 años,Roger Gual,Spain,"October 27, 2016",2016,77 min
s136,Movie,7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi",Pakistan,"May 15, 2019",2018,137 min
s137,Movie,7 Khoon Maaf,Vishal Bhardwaj,India,"August 2, 2018",2011,148 min
s144,Movie,90 ML,Anita Udeep,India,"August 13, 2019",2019,123 min
s145,Movie,93 Days,Steve Gukas,Nigeria,"March 5, 2020",2016,121 min
s146,Movie,A 2nd Chance,Clay Glen,Australia,"July 1, 2017",2011,95 min
s147,Movie,A 3 Minute Hug,Everardo González,"Mexico, United States","October 28, 2019",2019,28 min
s148,Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,United States,"October 15, 2020",2020,99 min
s149,Movie,A Bad Moms Christmas,"Jon Lucas, Scott Moore","United States, China","February 14, 2020",2017,104 min
s150,Movie,A Beautiful Life,Andrew Lau Wai-Keung,"China, Hong Kong","December 1, 2018",2011,122 min
